date,cheese_revenue,milk_revenue,dulce_leche_revenue,eggs_revenue,porks_revenue,vegetables_revenue
Jan-2020,300,900,50,12,300,20
Feb-2020,375,930,30,24,300,24
Mar-2020,420,960,40,60,300,36
Apr-2020,450,870,20,36,300,50
May-2020,525,990,30,72,300,60
Jun-2020,600,1200,60,108,600,70
Jul-2020,675,1260,80,132,900,80
Aug-2020,750,1320,90,144,900,90
Sep-2020,825,1380,100,156,1200,100
Oct-2020,900,1440,120,168,1500,110
Nov-2020,975,1500,140,192,1800,120
Dec-2020,1050,1590,160,216,1800,130
Jan-2021,750,600,80,12,300,40
Feb-2021,675,630,70,12,300,44
Mar-2021,720,750,60,12,600,50
Apr-2021,780,780,70,12,300,60
May-2021,825,840,90,12,600,64
Jun-2021,870,900,100,12,600,70
Jul-2021,900,960,110,12,600,72
Aug-2021,930,1080,80,12,600,76
Sep-2021,915,414,180,12,1200,60
Oct-2021,1110,366,280,24,900,64
Nov-2021,990,639,30,12,1200,56
Dec-2021,615,252,50,24,1200,50
Jan-2022,840,195,70,48,300,40
Feb-2022,690,180,10,156,300,44
Mar-2022,870,2178,0,600,5400,52
Apr-2022,765,360,0,252,0,18
May-2022,1335,2979,260,456,900,428
Jun-2022,1770,2820,250,432,600,132
Jul-2022,900,2319,90,180,300,120
Aug-2022,930,2316,50,420,300,14
Sep-2022,270,1004,20,108,3000,68
Oct-2022,1020,4440,160,252,4800,80
Nov-2022,1260,3364,10,120,3300,12
Dec-2022,960,2348,90,276,3600,302
Jan-2023,240,3864,50,24,300,10
Feb-2023,645,2968,50,36,0,10
Mar-2023,540,2576,40,48,600,12
Apr-2023,345,3224,60,24,1500,20
May-2023,300,1980,40,60,4200,168
Jun-2023,495,3000,290,240,1200,98
Jul-2023,900,3100,90,180,600,104
Aug-2023,400,2232,180,525,300,130
Sep-2023,800,2956,150,345,2100,64
Oct-2023,1420,4396,330,405,3600,28
Nov-2023,1540,3393,225,225,2100,52
Dec-2023,660,3303,150,165,1500,70
Jan-2024,800,3555,180,180,1500,80
Feb-2024,900,3645,150,195,1800,84
Mar-2024,1000,3735,195,210,1800,90
Apr-2024,960,3825,180,240,1500,100
May-2024,1100,3870,225,270,2400,120
Jun-2024,1200,3915,300,300,2100,130
Jul-2024,1300,3960,270,315,2400,140
Aug-2024,1200,4005,240,375,2700,150
Sep-2024,1240,4050,210,330,2100,130
Oct-2024,1360,4095,225,360,2400,120
Nov-2024,1440,4140,195,330,2100,124
Dec-2024,1500,4185,240,300,1800,140
